Scenario,Distance,ObstacleDetected,Reaction
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.84375,True,FORWARD
scenario_1on,16.828125,True,FORWARD
scenario_1on,16.8125,True,FORWARD
scenario_1on,16.796875,True,FORWARD
scenario_1on,16.78125,True,FORWARD
scenario_1on,16.765625,True,FORWARD
scenario_1on,16.734375,True,FORWARD
scenario_1on,16.71875,True,FORWARD
scenario_1on,16.6875,True,FORWARD
scenario_1on,16.65625,True,FORWARD
scenario_1on,16.625,True,FORWARD
scenario_1on,16.59375,True,FORWARD
scenario_1on,16.554688,True,FORWARD
scenario_1on,16.53125,True,FORWARD
scenario_1on,16.5,True,FORWARD
scenario_1on,16.484375,True,FORWARD
scenario_1on,16.46875,True,FORWARD
scenario_1on,16.4375,True,FORWARD
scenario_1on,16.40625,True,FORWARD
scenario_1on,16.390625,True,FORWARD
scenario_1on,16.375,True,FORWARD
scenario_1on,16.34375,True,FORWARD
